Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,8108127,"The Tax protein of HTLV-I, a positive transcriptional activator of HTLV-I gene expression, is a viral oncogene that also increases transcription of cellular genes including GM-CSF, IL-2R alpha and IL-2."
Interleukin-2,Macrophage colony-stimulating factor 1,unknown,Interleukin-2,Macrophage colony-stimulating factor 1,8108127,"The Tax protein of HTLV-I, a positive transcriptional activator of HTLV-I gene expression, is a viral oncogene that also increases transcription of cellular genes including GM-CSF, IL-2R alpha and IL-2."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21496646,"To avoid the lethality of Thorase KO mice, Thorase flox/+ mice were crossed with CaMKIIa-iCre transgenic mice to restrict the temporal and spatial deletion of Thorase to the adult forebrain."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,11248038,Membrane association of sHSPs could antagonize the heat-induced hyperfluidization of specific membrane domains and thereby serve to preserve structural and functional integrity of biomembranes.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20585641,Identification of conserved regions and residues within Hedgehog acyltransferase critical for palmitoylation of Sonic Hedgehog.
Lymphotoxin-alpha,Macrophage metalloelastase,unknown,Lymphotoxin-alpha,Macrophage metalloelastase,20585641,"Attachment of palmitate to Shh is catalyzed by Hedgehog acyltransferase (Hhat), a member of the membrane bound O-acyl transferase (MBOAT) family of multipass membrane proteins."
C-C motif chemokine 7,Lymphotoxin-alpha,regulates,C-C motif chemokine 7,Lymphotoxin-alpha,20585641,CONCLUSIONS/SIGNIFICANCE: This study has pinpointed specific regions and multiple residues that regulate Hhat stability and catalysis.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20585641,"Our findings should be applicable to other MBOAT proteins that mediate lipid modification of Wnt proteins and ghrelin, and should serve as a model for understanding how secreted morphogens are modified by palmitoyl acyltransferases."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,23583660,Recently evaluated miRNAs altered in urological cancers might have impact on the CSN-CRL pathway which has to be analyzed in future experiments.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11032757,Downregulation of cyclin D1 alters cdk 4- and cdk 2-specific phosphorylation of retinoblastoma protein.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16738318,An analysis of the molecular mechanisms mediating repression resulted in the identification of two major repression domains in p66alpha and one in p66beta.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16738318,Mutation of the SUMO modification sites or using a SUMO1 mutant or a dominant negative Ubc9 ligase resulted in a significant decrease of the transcriptional repression of p66alpha and p66beta.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22371489,"Our results suggest that ubiquitin-specific protease 9X (USP9X) is by far the most active deubiquitinase acting on Ub-PEX5, both in female rat liver and HeLa cells."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,22904036,"As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24498054,"Double mutant strains Deltapph3/Deltachk1 and Deltapsy2/Deltachk1 showed additional reductions in the efficiency of plasmid repair, compared to both single deletions which is in agreement with the activity of Pph3p and Psy2p in a parallel pathway to Chk1p."
Interleukin-6,Tumor necrosis factor,unknown,Interleukin-6,Tumor necrosis factor,10096561,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,15501440,"Although much remains to be tested about the role of this novel molecular mobilization mechanism, cells might utilize actin polymerization energy for cell shape change and/or trafficking via Formin motors."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15501440,"Although much remains to be tested about the role of this novel molecular mobilization mechanism, cells might utilize actin polymerization energy for cell shape change and/or trafficking via Formin motors."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,15501440,"Although much remains to be tested about the role of this novel molecular mobilization mechanism, cells might utilize actin polymerization energy for cell shape change and/or trafficking via Formin motors."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,20028662,We first report that a synthetic omega-alkynyl-palmitate analog can be readily and specifically incorporated into GAPDH or mitochondrial 3-hydroxyl-3-methylglutaryl-CoA synthase in vitro and reacted with an azido-biotin probe or the fluorogenic probe 3-azido-7-hydroxycoumarin using click chemistry for rapid detection by Western blotting or flat bed fluorescence scanning.
C-C motif chemokine 19,C-C motif chemokine 7,unknown,C-C motif chemokine 19,C-C motif chemokine 7,16547521,"Using a tandem-affinity purification strategy and mass spectrometry we have identified proteins associated with Dishevelled, including a Cullin-3 ubiquitin ligase complex containing the Broad Complex, Tramtrack and Bric a Brac (BTB) protein Kelch-like 12 (KLHL12)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,7877695,These results indicate that the SRB10/11 kinase is involved in CTD phosphorylation and suggest that this modification has a role in the response to transcriptional regulators in vivo.
C-C motif chemokine 7,Lymphotoxin-alpha,regulates,C-C motif chemokine 7,Lymphotoxin-alpha,1763325,These results indicate that DCoH regulates formation of transcriptionally active tetrameric complexes and may contribute to the developmental specificity of the complex.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,14699049,"Then, using this method, we showed that coexpression of both POMT1 and POMT2 (another gene homologous to yeast protein O-mannosyltransferases) was necessary for the enzyme activity, but expression of either POMT1 or POMT2 alone was insufficient."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,14699049,"In view of the potential importance of this form of glycosylation for a number of developmental and neurobiological processes, the ability to assay mammalian protein O-mannosyltransferase activity should greatly facilitate progress in the identification and localization of O-mannosylated proteins and the elucidation of their functional roles."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,12399160,"The mechanism of covalent binding remains to be established, but significantly less abacavir-protein residue was detected with an analog of abacavir in which the double bond was removed, suggestive of a double bond migration and 1,4 addition process."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26675234,The association of RNF168 with PML NBs resulted in increased ubiquitylation and SUMO2 modification of PML.
Lymphotoxin-alpha,Tumor necrosis factor,unknown,Lymphotoxin-alpha,Tumor necrosis factor,9852070,"The involvement of multiple tumor necrosis factor receptor (TNFR)-associated factors in the signaling mechanisms of receptor activator of NF-kappaB, a member of the TNFR superfamily."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,inhibits,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21908597,"Although both invasive growth and mat formation depend on Flo11p, mutations that perturb the multivesicular body (MVB) protein sorting pathway inhibit mat formation in a FLO11-independent manner."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21908597,"These mutants, represented by vps27Delta, disrupt mat formation but do not affect invasive growth, FLO11 gene or protein expression, or Flo11p localization."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,7556078,"Although overexpression of either the SUP45 or SUP35 genes alone did not reduce the efficiency of codon-specific tRNA nonsense suppression, the simultaneous overexpression of both the SUP35 and SUP45 genes in nonsense suppressor tRNA-containing strains produced an antisuppressor phenotype."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19907488,"Direct antagonism of the NOTCH transcriptional program causes potent, NOTCH-specific anti-proliferative effects in cultured cells and in a mouse model of NOTCH1-driven T-ALL."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,10048324,"Apo-BCCP interacts specifically with the biotin holoenzyme synthetase, BirA, which results in the post-translational attachment of biotin to a single lysine residue on BCCP."
C-C motif chemokine 7,Macrophage metalloelastase,binds,C-C motif chemokine 7,Macrophage metalloelastase,10048324,"Apo-BCCP interacts specifically with the biotin holoenzyme synthetase, BirA, which results in the post-translational attachment of biotin to a single lysine residue on BCCP."
Lymphotoxin-alpha,Macrophage metalloelastase,binds,Lymphotoxin-alpha,Macrophage metalloelastase,10048324,"Apo-BCCP interacts specifically with the biotin holoenzyme synthetase, BirA, which results in the post-translational attachment of biotin to a single lysine residue on BCCP."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,10048324,"The results indicate that upon biotinylation, the inherent mobility of the biotin-binding region and the protruding thumb, with which the biotin group interacts in the holo protein, are significantly reduced."
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor,activates,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor,26972597,Tumor Necrosis Factor-alpha canonically induces the activation of NF-kappaB and associated gene product cellular FLICE-like inhibitory protein (cFLIPL) to promote cell survival.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23446637,Our results uncover the underlying molecular basis of disease and provide novel insights into mitigating NPHP5 deficiency.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24056413,AR is regulated by an interplay of multiple post-translational modifications including ubiquitination.
C-C motif chemokine 2,Tumor necrosis factor,unknown,C-C motif chemokine 2,Tumor necrosis factor,7537762,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (MCP-1) and tumor necrosis factor-alpha (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor."
C-C motif chemokine 2,C-C motif chemokine 7,unknown,C-C motif chemokine 2,C-C motif chemokine 7,7537762,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of nuclear factor-kappa B (NF-kappa B), a transcription factor required for expression of MCP-1, TNF-alpha, and other immediate-early genes."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,regulates,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,7537762,"These results demonstrate that P-selectin, through its ligands on monocytes, may locally regulate cytokine secretion in inflamed tissues."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,regulates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,16980317,"With regard to the putative mechanism(s) by which histone acetylation regulates the flow of genetic information, site-specific modification and recognition of acetylated histone/DNA complexes have been postulated."
